Player,Hands,BB/100,VPIP,PFR,3Bet F,Fold to 3Bet,Flop AF,Donk F,CBet F,Fold to F CBet,XR Flop,Bet T,Bet R,Call R Bet,WTSD %,WSD
player17374,761,-25.1,37,21.74,0,64.52,2.24,2,58.62,47.5,5.36,37.21,35.14,35.71,27.84,49.3
player17375,"1,052",-42.02,48.35,5.72,14.29,69.23,1.18,24.17,80.65,43,0.83,38.46,42.15,40.23,37.55,44.72
player17376,"27,128",0.75,17.09,12.03,12.32,68.37,2.5,3.08,55.88,47.94,7.61,30.05,17.71,25.61,26.29,63.69
player17377,"1,473",-33.38,43.97,17.95,13.64,53.51,3.49,41.78,66.67,65.26,0,41.63,28.92,27.66,29.42,44.44
player17378,"1,876",21.52,35.48,25.85,4,61.59,2.59,10.68,54.88,32.95,12.5,46.09,60.38,44.64,29.55,42.47
player17379,"4,192",-30.83,36.43,2.08,9.09,71.43,0.51,4.81,49.02,49.57,1.08,14.87,29.73,37.99,32.74,59.21
player17380,"8,420",-9.88,46.58,17.18,5.43,55.36,2.1,17.8,67.22,44.62,7.52,34.67,31.95,39.88,30.89,49.51
player17381,"6,517",-32.25,54.35,7.13,11.11,43.13,0.65,4.98,40.18,54.35,1.92,20.64,21.77,41.47,36.92,53.39
player17382,"25,627",-27.12,44.45,2.02,5.53,65.39,0.91,9.2,66.46,53.37,1.55,28.6,25.61,40.55,33.14,50.04
player17383,"3,956",-9.81,43.09,10.78,11.76,62.84,2.15,4.73,87.15,57.89,6.23,42.2,29.8,39.38,26.33,46.83
player17384,635,-211.54,48.88,11.04,10,22.73,3.18,53.57,93.1,38.24,13.51,70.59,69.83,38.64,36.44,30.83
player17385,"6,484",-12.37,34.07,6.56,2.5,72.39,2.18,26.32,73.1,62.11,1.67,41.41,48.3,29.82,24.72,55.71
player17386,537,69.65,39.85,23.12,0,53.13,1.85,25.93,58.33,47.06,12.82,41.11,27.12,25.81,29,56.9
player17387,"1,003",26.4,50.97,12.7,6.67,75.95,1.83,11.19,77.42,49.14,5.5,29.11,36.02,28.85,29.73,53.03
player17388,"6,279",-16.36,55.4,4.11,5.83,65.71,1.57,16.35,79.61,42.7,3.13,40.23,45.93,22.71,26.97,44.37
player17389,515,-52.54,47.22,7.54,0,55,2.32,50,70.83,65.12,0,45.6,56.63,33.33,26.56,50
player17390,514,-22.05,47.25,27.35,16.67,35.29,0.73,4.69,45,25,4.55,42.59,52.56,28.57,33.75,35.19
player17391,"179,528",-1.57,22.76,18.74,9.92,81.16,1.77,0.11,43.11,47.98,6.48,24.17,31.16,33.64,30.66,58.98
player17392,"50,751",2.59,29.38,21.32,9.81,54.46,1.75,1.69,66.54,37.91,9.54,38.74,36.86,33.77,30.83,50.79
player17393,"1,000",-28.7,33.61,12.46,0,57.14,1.67,28.57,50,61.29,1.85,60.69,71.28,18.75,18.09,34.55
player17394,"14,593",-13.87,33.39,22.77,5.7,56.76,1.66,3.21,63.75,45.03,6.45,28.32,29.74,35.84,29.46,50.27
player17395,994,24.6,37.21,13.28,14.29,41.67,2.04,3.33,76.47,52.54,6.38,41.21,40.37,36.11,29.04,60
