,player,hands,bb_100,vpip,pfr,3bet_f,fold_to_3bet,flop_af,donk_f,cbet_f,fold_to_f_cbet,xr_flop,bet_t,bet_r,call_r_bet,wtsd,wsd,cluster,cluster_name
5822,george25103,1220.0,-51.5,42.32,8.52,0.0,66.67,2.08,6.82,91.3,46.38,12.15,39.76,38.71,51.72,35.14,44.0,1,Loose Passive Callers
5823,georged618,5000.0,-29.15,41.62,13.59,13.95,49.19,1.23,10.63,54.13,55.94,1.71,34.05,33.89,26.52,29.23,50.18,2,Semi-Loose Neutral Players
5824,georgforeman,1834.0,-83.24,60.8,31.35,14.0,39.32,3.26,39.37,61.08,46.07,2.13,35.28,33.44,22.66,29.35,39.4,6,Loose Aggro Fish
5825,GeorgiaGovernor,4112.0,-23.46,55.95,17.93,13.21,60.54,2.27,13.83,75.43,56.22,7.88,33.82,44.79,18.1,28.05,42.75,2,Semi-Loose Neutral Players
5826,Georgie1021,3523.0,-56.06,62.77,15.26,1.47,40.72,1.67,34.56,67.28,45.57,3.89,44.11,64.5,38.24,33.6,36.95,4,Overly Aggressive Semi-Loose Players
5827,Geoworks,1321.0,-5.08,55.29,7.28,11.76,63.64,0.78,3.03,53.06,54.14,1.73,23.88,27.13,35.48,35.77,48.26,2,Semi-Loose Neutral Players
5828,GeraldBostock,4142.0,-51.4,32.16,6.62,4.76,54.75,0.74,9.8,49.69,47.84,5.07,38.38,44.07,31.35,31.0,47.61,1,Loose Passive Callers
5830,GeraldoCrowbar,10584.0,7.88,25.13,17.91,6.25,61.56,2.72,3.46,72.29,45.22,5.04,42.26,42.49,29.26,25.76,50.0,0,Balanced Semi-Loose Players
5831,Gerard311,9512.0,-40.2,49.06,10.21,8.87,61.65,1.07,17.44,55.14,42.93,2.61,29.83,35.46,31.94,35.45,44.1,2,Semi-Loose Neutral Players
5833,gerry@ps,1421.0,25.59,40.61,2.43,5.56,52.94,3.12,25.35,90.0,53.97,7.26,36.07,32.8,17.81,27.04,52.51,5,Tight Passive Rocks
5834,gesposito13,1136.0,-120.25,66.07,20.14,9.38,21.05,2.29,51.05,59.62,41.76,8.91,47.92,65.91,34.38,35.06,42.59,6,Loose Aggro Fish
5835,GeT_RiVeRd1313,8244.0,-17.91,43.96,6.05,4.96,61.36,1.13,16.58,58.15,46.74,3.88,40.9,40.75,38.39,29.48,48.21,2,Semi-Loose Neutral Players
5836,GetAlong89,1987.0,-2.26,33.64,12.18,13.33,80.0,1.56,2.73,59.5,51.49,5.52,34.05,38.84,27.06,28.06,51.4,0,Balanced Semi-Loose Players
5837,getcheesed,3902.0,-8.52,44.42,15.37,8.2,63.73,2.05,16.85,64.91,58.27,1.88,42.96,47.92,34.74,28.76,52.3,5,Tight Passive Rocks
5838,GetFooked69,2166.0,-24.41,48.84,13.43,5.56,73.02,1.95,5.38,55.63,48.43,9.46,34.17,31.34,34.55,31.74,47.16,2,Semi-Loose Neutral Players
5839,Getjuicedd,1863.0,-19.11,24.55,15.41,4.0,60.0,1.24,1.04,56.17,48.19,4.13,43.24,35.33,39.62,29.96,51.35,2,Semi-Loose Neutral Players
5840,GetLiquid78,4883.0,-15.22,25.1,13.75,25.0,60.69,3.41,14.64,63.67,28.37,25.0,53.12,39.7,40.0,30.32,44.51,2,Semi-Loose Neutral Players
5841,getluckyy13,1625.0,-18.27,52.72,12.24,8.51,47.27,2.29,33.01,60.98,70.67,3.33,36.9,43.05,34.13,29.81,40.3,4,Overly Aggressive Semi-Loose Players
5843,getoffum,1452.0,-52.32,56.32,17.33,28.57,48.6,2.45,43.39,54.31,43.48,9.38,36.49,51.63,35.87,32.99,43.36,1,Loose Passive Callers
5844,GetOnThat50,3411.0,-27.3,33.37,8.91,1.96,56.03,2.05,43.87,55.56,52.68,1.54,52.14,57.18,39.85,27.6,45.45,4,Overly Aggressive Semi-Loose Players
5847,GetTheJuice,97314.0,2.07,21.44,16.29,8.43,76.24,2.46,8.04,56.09,57.5,4.06,34.36,34.48,33.1,27.27,55.82,0,Balanced Semi-Loose Players
5848,Gettingswoleson,4494.0,-21.77,36.67,8.04,23.08,61.18,1.72,11.46,45.16,65.1,1.91,22.7,30.09,18.94,28.13,51.05,2,Semi-Loose Neutral Players
5849,Getty9923,7831.0,-57.06,60.1,8.67,3.15,43.22,1.02,12.44,70.57,41.14,5.08,23.94,26.07,28.7,33.11,46.98,1,Loose Passive Callers
5850,GetYeeted,1135.0,-110.04,46.56,15.64,17.65,43.64,1.41,4.96,80.25,28.44,13.11,43.22,42.93,57.33,38.21,36.82,6,Loose Aggro Fish
5851,Geves1,4477.0,-22.94,29.94,9.2,16.33,61.15,1.94,25.42,60.83,55.47,5.74,40.38,40.32,33.71,29.05,44.77,2,Semi-Loose Neutral Players
5852,Gezellig44,2833.0,-30.25,53.45,11.51,7.41,57.89,1.53,9.06,88.54,40.98,6.17,41.43,37.8,36.7,30.41,44.16,2,Semi-Loose Neutral Players
5853,Gfactor911,8563.0,-9.94,35.02,7.9,1.27,76.0,2.15,9.53,69.88,59.67,2.14,43.64,33.42,36.73,23.25,47.4,5,Tight Passive Rocks
5855,gfis24,1540.0,-110.19,54.74,8.64,0.0,40.0,0.46,13.04,32.94,44.08,1.38,19.92,43.85,39.18,38.18,35.82,6,Loose Aggro Fish
5856,GFlash2016,1194.0,-30.76,40.89,16.01,15.38,55.84,3.4,50.0,71.05,60.0,2.94,72.05,64.46,27.45,28.88,46.27,4,Overly Aggressive Semi-Loose Players
5857,GGbubb,2440.0,-33.18,31.73,26.88,15.63,37.7,2.24,7.35,49.86,53.41,9.26,32.3,34.55,36.89,31.72,45.8,2,Semi-Loose Neutral Players
5858,GGoldenGGod,17525.0,-21.52,54.57,14.14,6.3,64.28,1.12,15.57,46.23,46.23,3.4,42.1,42.67,26.71,28.67,44.18,2,Semi-Loose Neutral Players
5860,ggturbo180,4792.0,-18.96,42.67,6.92,1.82,68.18,1.0,13.11,42.04,46.25,6.11,28.74,38.26,11.06,29.13,51.5,2,Semi-Loose Neutral Players
5862,gh1785,2052.0,-43.35,39.02,10.51,13.33,56.52,2.66,13.56,87.83,54.48,12.43,64.41,54.55,46.51,29.61,36.51,4,Overly Aggressive Semi-Loose Players
5863,Ghanoosh25,3376.0,-16.11,32.8,4.78,4.0,71.53,1.5,29.76,64.13,56.25,1.55,37.63,30.11,37.06,28.58,54.95,5,Tight Passive Rocks
5865,ghkghkghk,1631.0,-9.28,24.35,13.05,3.85,47.62,3.62,25.35,53.98,69.81,4.08,27.86,29.55,33.33,33.76,58.75,0,Balanced Semi-Loose Players
5866,ghorn10,2546.0,-24.49,24.16,14.82,21.43,73.91,9.79,35.79,76.14,58.62,14.81,49.33,45.56,31.67,24.74,45.77,5,Tight Passive Rocks
5868,ghostdog215,9718.0,-0.37,33.6,5.31,3.7,66.25,1.42,2.24,88.51,48.69,4.95,39.49,39.3,28.07,30.01,53.58,5,Tight Passive Rocks
5870,GhostRiderCVA,4560.0,-0.11,61.63,40.19,0.0,81.89,1.72,12.99,38.46,50.63,3.13,56.39,33.65,20.9,19.84,47.12,0,Balanced Semi-Loose Players
5871,Ghostsleeper,42268.0,-28.75,41.87,15.01,7.68,37.66,1.49,12.98,81.96,40.6,3.35,33.05,39.06,34.52,31.71,45.76,2,Semi-Loose Neutral Players
5872,GhostXGhost,9328.0,-12.42,35.33,18.65,17.5,63.2,2.13,17.16,60.64,41.27,12.2,31.02,28.41,44.12,35.98,51.06,2,Semi-Loose Neutral Players
5873,ghostyyyyyyy,22250.0,-0.15,17.5,13.62,15.2,74.49,1.54,1.66,43.89,51.85,3.48,25.0,23.98,31.11,30.14,59.29,0,Balanced Semi-Loose Players
5874,GHSTface1000,28205.0,6.59,20.4,9.14,15.63,80.02,3.33,2.67,86.28,64.39,3.46,34.44,28.97,30.85,23.78,55.84,0,Balanced Semi-Loose Players
5875,giannijada,1003.0,92.84,49.69,16.68,0.0,54.05,1.17,7.69,80.0,48.98,0.81,47.2,52.3,33.33,29.91,47.14,0,Balanced Semi-Loose Players
5877,giants0507,1502.0,-48.48,30.33,9.41,0.0,70.67,0.65,6.2,45.0,59.29,0.0,18.22,47.8,56.52,32.16,50.0,2,Semi-Loose Neutral Players
5878,gibbs24burritos,1658.0,-28.63,50.58,5.3,4.35,66.2,1.55,32.76,80.56,51.16,0.0,50.0,46.1,44.09,32.62,49.83,4,Overly Aggressive Semi-Loose Players
5879,Gibbtree30,1220.0,-40.57,36.56,9.02,66.67,54.0,0.98,13.59,43.75,42.2,2.35,35.32,41.1,41.94,33.57,40.97,2,Semi-Loose Neutral Players
5882,Gicker606,3221.0,-46.74,60.38,8.93,7.69,39.52,1.33,32.34,66.67,49.88,4.92,38.74,39.89,39.22,35.85,42.6,1,Loose Passive Callers
5883,Gideon336,2503.0,-59.82,47.86,2.8,2.13,54.55,0.51,8.26,64.29,49.35,2.56,29.85,35.01,40.15,35.28,46.54,1,Loose Passive Callers
5884,gideonlocker,3927.0,-38.13,38.95,14.57,10.17,63.53,2.6,18.11,72.51,52.32,8.87,38.98,44.58,30.61,27.35,41.98,4,Overly Aggressive Semi-Loose Players
5885,Gigacoin666,7927.0,-9.83,42.28,17.03,6.49,58.19,1.85,2.92,67.53,46.2,10.62,44.57,49.17,22.76,22.99,47.36,5,Tight Passive Rocks
5886,GigaRaise_72,1609.0,-27.3,30.19,7.98,8.33,72.73,2.63,2.99,69.84,54.9,3.25,31.02,38.89,39.06,27.21,48.65,2,Semi-Loose Neutral Players
5888,GiggityBoy,92906.0,1.9,21.17,18.04,8.55,77.85,2.93,2.23,55.26,53.11,6.6,34.92,30.08,26.38,27.28,54.69,0,Balanced Semi-Loose Players
5889,giggles_wins,2051.0,-103.5,60.81,3.06,0.0,53.97,2.12,35.41,52.94,66.47,1.35,37.31,31.49,44.79,33.28,43.38,6,Loose Aggro Fish
5890,Gilbert Ryan,3824.0,-14.81,30.05,20.52,10.0,64.79,2.21,4.0,86.67,42.16,2.84,29.35,31.94,44.36,35.25,50.33,2,Semi-Loose Neutral Players
5891,gilbyfc1317,7110.0,4.34,34.97,3.63,4.07,71.08,2.53,26.99,76.11,63.75,4.55,50.78,44.79,38.16,27.35,50.46,5,Tight Passive Rocks
5894,gill332,143441.0,-28.74,35.4,2.25,7.4,67.76,0.79,7.28,83.6,48.9,1.4,27.24,26.95,46.93,36.75,54.52,2,Semi-Loose Neutral Players
5895,Gilliard1984,3726.0,-16.33,32.99,15.35,11.11,65.7,2.3,9.64,69.46,53.27,8.07,36.09,48.37,14.29,25.3,49.08,5,Tight Passive Rocks
5898,gilly215$283,1493.0,-104.61,68.07,11.15,0.0,47.92,1.2,6.0,62.69,40.82,8.78,30.65,35.83,37.1,35.29,42.12,6,Loose Aggro Fish
5899,GILMAN949,11469.0,-2.41,58.69,37.67,5.19,59.17,2.84,21.76,54.26,48.52,5.2,40.57,57.07,14.38,21.63,45.17,5,Tight Passive Rocks
5900,gimmeeshelter,4162.0,-11.54,24.51,16.32,13.51,50.42,1.23,0.72,48.5,39.06,6.93,33.23,31.18,45.69,35.8,53.37,0,Balanced Semi-Loose Players
5901,gimmegimme1396,17058.0,-33.03,24.51,7.8,6.2,61.06,1.53,12.11,53.02,49.29,6.61,37.42,36.81,26.49,32.02,51.03,2,Semi-Loose Neutral Players
5902,Gindy1987,6217.0,-16.39,34.57,3.45,7.94,65.97,0.64,5.67,62.81,59.85,0.66,28.85,40.64,29.43,31.18,51.1,2,Semi-Loose Neutral Players
5904,GingersEgho,7223.0,-13.94,24.16,1.65,3.23,82.07,1.19,12.81,82.19,61.17,0.41,33.99,40.12,40.36,27.95,52.01,5,Tight Passive Rocks
